"family","species","latitude","longitude","month","year","temperature","precipitation"
"Trochilidae","Amazilia tzacatl",9.453955,-82.48263,5,2022,25.4863471984863,3838.25268554688
"Trochilidae","Amazilia tzacatl",10.203823,-84.161835,11,2023,15.2333126068115,3949.96020507812
"Ramphastidae","Ramphastos sulfuratus",8.6787,-79.926605,2,2024,25.4435157775879,2117.07470703125
"Trochilidae","Amazilia tzacatl",16.797897,-88.388435,10,2022,25.5649242401123,2555.9306640625
"Psittacidae","Ara macao",9.412472,-84.1562,11,2019,25.9706077575684,5501.7763671875
"Ramphastidae","Ramphastos sulfuratus",10.262687,-84.83054,9,2024,20.2926044464111,3251.82397460938
"Trochilidae","Amazilia tzacatl",16.62953,-89.874664,10,2020,25.6394462585449,1869.47253417969
"Ramphastidae","Ramphastos sulfuratus",10.307843,-84.80514,11,2016,19.6945686340332,3409.72094726562
"Trochilidae","Amazilia tzacatl",4.59545,-74.34113,3,2021,15.7468862533569,1603.70007324219
"Ramphastidae","Ramphastos sulfuratus",10.68515,-84.18112,1,2019,24.7328491210938,3731.8232421875
"Trochilidae","Amazilia tzacatl",5.325608,-75.04593,11,2021,19.4956588745117,3504.48779296875
"Trochilidae","Amazilia tzacatl",10.195478,-84.51338,11,2024,19.5378761291504,3567.34716796875
"Trochilidae","Amazilia tzacatl",10.431058,-84.00359,3,2019,24.3582134246826,3935.75463867188
"Ramphastidae","Ramphastos sulfuratus",9.961829,-83.71077,12,2018,18.3580722808838,4882.888671875
"Trochilidae","Amazilia tzacatl",0.062176,-78.682022,12,2019,16.6842384338379,3105.48315429688
"Trochilidae","Amazilia tzacatl",10.35355,-84.51406,1,2024,23.52516746521,3545.59057617188
"Trochilidae","Amazilia tzacatl",17.157063,-88.74699,4,2020,24.8663234710693,2012.23205566406
"Trochilidae","Amazilia tzacatl",4.480246,-74.60899,1,2022,24.5342998504639,1907.86535644531
"Trochilidae","Amazilia tzacatl",17.111664,-88.9242,1,2017,25.141149520874,1815.7724609375
"Trochilidae","Amazilia tzacatl",4.554443,-75.32449,1,2024,10.9150199890137,2988.00512695312
"Trochilidae","Amazilia tzacatl",9.905791,-83.62006,4,2022,21.5158634185791,4713.9140625
"Trochilidae","Amazilia tzacatl",10.442457,-84.66729,2,2022,21.227502822876,3769.966796875
"Trochilidae","Amazilia tzacatl",10.431166,-84.00353,4,2024,24.3582134246826,3935.75463867188
"Trochilidae","Amazilia tzacatl",-1.674053,-80.81521,12,2021,23.018367767334,653.65576171875
"Trochilidae","Amazilia tzacatl",4.421927,-75.17257,1,2021,21.2164783477783,2263.27954101562
"Trochilidae","Amazilia tzacatl",16.143536,-88.82648,4,2018,25.8183479309082,3477.80395507812
"Ramphastidae","Ramphastos sulfuratus",9.78404,-83.75147,1,2023,18.4298877716064,4163.4541015625
"Psittacidae","Ara macao",8.641504,-83.19298,4,2017,25.2366485595703,4339.56689453125
"Trochilidae","Amazilia tzacatl",16.828856,-90.89494,5,2022,25.3516178131104,2188.5625
"Trochilidae","Amazilia tzacatl",16.885353,-94.761696,10,2023,24.2030868530273,2137.42358398438
"Ramphastidae","Ramphastos sulfuratus",9.721675,-82.825596,10,2010,25.5840358734131,3784.4365234375
"Psittacidae","Ara macao",-6.604597,-49.360943,11,2017,26.1640243530273,1812.875
"Trochilidae","Amazilia tzacatl",17.145418,-88.692924,2,2022,25.0457305908203,2214.52905273438
"Trochilidae","Amazilia tzacatl",9.941809,-84.03872,10,2018,18.7922496795654,3090.67211914062
"Ramphastidae","Ramphastos sulfuratus",9.077836,-79.64925,1,2020,25.752269744873,2543.22387695312
"Trochilidae","Amazilia tzacatl",10.506104,-85.3699,8,2023,26.3764514923096,1954.64660644531
"Trochilidae","Amazilia tzacatl",7.034919,-73.06476,10,2021,21.5973682403564,1415.40588378906
"Trochilidae","Amazilia tzacatl",9.882799,-84.08772,3,2023,18.2813262939453,3055.5390625
"Trochilidae","Amazilia tzacatl",-0.077419,-78.76933,2,2016,16.3733539581299,3556.57397460938
"Trochilidae","Amazilia tzacatl",8.69992,-83.20789,2,2023,24.4654273986816,4993.52978515625
"Ramphastidae","Ramphastos sulfuratus",9.630725,-82.67205,6,2024,25.4449348449707,4011.98388671875
"Trochilidae","Amazilia tzacatl",10.31129,-84.816246,11,2014,19.6945686340332,3409.72094726562
"Trochilidae","Amazilia tzacatl",9.911706,-84.32383,1,2024,22.8785285949707,2866.32763671875
"Trochilidae","Amazilia tzacatl",9.617608,-85.14598,10,2021,26.3596992492676,2347.7919921875
"Trochilidae","Amazilia tzacatl",17.153275,-89.06809,11,2018,25.7464981079102,1524.36376953125
"Ramphastidae","Ramphastos sulfuratus",16.271042,-90.84885,9,2018,24.8471221923828,2888.65112304688
"Trochilidae","Amazilia tzacatl",17.109652,-89.07313,1,2017,25.7464981079102,1524.36376953125
"Ramphastidae","Ramphastos sulfuratus",10.536263,-84.31997,3,2018,24.4717979431152,3531.31127929688
"Trochilidae","Amazilia tzacatl",9.980939,-84.07892,10,2023,18.7922496795654,3090.67211914062
"Trochilidae","Amazilia tzacatl",7.609254,-81.75545,9,2015,26.053243637085,3807.9775390625
"Trochilidae","Amazilia tzacatl",8.525343,-81.1303,9,2023,21.6331653594971,4145.43017578125
"Ramphastidae","Ramphastos sulfuratus",15.508687,-88.06512,4,2019,24.5602779388428,2150.69946289062
"Trochilidae","Amazilia tzacatl",9.780881,-84.6061,3,2023,25.2544860839844,3357.62670898438
"Trochilidae","Amazilia tzacatl",7.588172,-80.97907,6,2015,26.2550888061523,3108.06518554688
"Ramphastidae","Ramphastos sulfuratus",10.431166,-84.00353,3,2019,24.3582134246826,3935.75463867188
"Trochilidae","Amazilia tzacatl",8.389417,-77.87162,1,2017,26.019603729248,2708.67919921875
"Psittacidae","Ara macao",10.431166,-84.00353,4,2024,24.3582134246826,3935.75463867188
"Trochilidae","Amazilia tzacatl",9.224069,-79.41079,1,2023,23.8206844329834,3458.45434570312
"Ramphastidae","Ramphastos sulfuratus",15.517603,-88.05786,1,2022,24.5602779388428,2150.69946289062
"Trochilidae","Amazilia tzacatl",4.925853,-75.09477,4,2024,15.5108737945557,2513.92114257812
"Ramphastidae","Ramphastos sulfuratus",11.144759,-74.1031,3,2022,23.9560947418213,1979.60815429688
"Trochilidae","Amazilia tzacatl",8.780534,-82.184654,4,2017,21.6432304382324,3926.16552734375
"Ramphastidae","Ramphastos sulfuratus",8.194593,-77.77608,5,2016,26.1555004119873,2805.64208984375
"Ramphastidae","Ramphastos sulfuratus",18.409355,-89.89874,3,2024,26.4158535003662,1154.86706542969
"Trochilidae","Amazilia tzacatl",4.754966,-75.89424,12,2022,21.8829517364502,1875.10266113281
"Trochilidae","Amazilia tzacatl",4.536682,-75.68882,3,2024,20.0399971008301,2440.755859375
"Ramphastidae","Ramphastos sulfuratus",10.484605,-84.72931,9,2019,22.4273853302002,3842.72045898438
"Trochilidae","Amazilia tzacatl",10.46139,-84.026344,7,2021,24.3582134246826,3935.75463867188
"Trochilidae","Amazilia tzacatl",9.14688,-83.6055,4,2024,22.3738670349121,7146.81884765625
"Trochilidae","Amazilia tzacatl",10.480024,-84.63702,5,2022,23.7799491882324,3681.1064453125
"Ramphastidae","Ramphastos sulfuratus",16.761265,-91.1028,5,2024,23.6227245330811,2584.62426757812
"Trochilidae","Amazilia tzacatl",9.061626,-79.64953,4,2023,25.752269744873,2543.22387695312
"Trochilidae","Amazilia tzacatl",9.460983,-83.604,11,2015,18.1801071166992,5104.65283203125
"Ramphastidae","Ramphastos sulfuratus",16.61086,-90.70885,9,2019,25.2441940307617,2409.43237304688
"Trochilidae","Amazilia tzacatl",17.771248,-88.53427,2,2023,26.0528964996338,1630.14575195312
"Ramphastidae","Ramphastos sulfuratus",9.961787,-84.39728,11,2020,23.274227142334,3127.24658203125
"Ramphastidae","Ramphastos sulfuratus",10.884893,-84.788704,3,2016,25.2170467376709,2955.115234375
"Trochilidae","Amazilia tzacatl",10.253945,-84.271484,3,2019,17.8863430023193,4168.20263671875
"Ramphastidae","Ramphastos sulfuratus",10.436984,-84.70968,3,2021,21.227502822876,3769.966796875
"Psittacidae","Ara macao",-9.068208,-56.592793,10,2024,25.43505859375,2297.830078125
"Trochilidae","Amazilia tzacatl",9.289515,-83.68209,4,2015,22.1371879577637,7197.78857421875
"Trochilidae","Amazilia tzacatl",8.585613,-82.99325,6,2019,25.4882640838623,4153.36962890625
"Accipitridae","Harpia harpyja",-16.3876,-39.16976,11,2018,24.5089244842529,1600.60278320312
"Ramphastidae","Ramphastos sulfuratus",10.215062,-84.85146,11,2016,24.9642906188965,2798.85302734375
"Ramphastidae","Ramphastos sulfuratus",8.593973,-80.140434,1,2024,23.8379039764404,2945.47680664062
"Ramphastidae","Ramphastos sulfuratus",20.863083,-87.04727,4,2023,25.7220611572266,1380.61206054688
"Ramphastidae","Ramphastos sulfuratus",8.633426,-80.13606,11,2023,22.7288646697998,2847.08911132812
"Ramphastidae","Ramphastos sulfuratus",10.328778,-84.8283,1,2024,19.6945686340332,3409.72094726562
"Trochilidae","Amazilia tzacatl",0.124139,-78.62937,1,2024,19.3235988616943,2695.92578125
"Trochilidae","Amazilia tzacatl",17.357641,-88.541626,3,2023,25.8852024078369,1964.02026367188
"Trochilidae","Amazilia tzacatl",1.21063,-77.99431,12,2023,17.3185596466064,5815.505859375
"Trochilidae","Amazilia tzacatl",14.931047,-87.8941,1,2024,22.6452369689941,1533.85302734375
"Trochilidae","Amazilia tzacatl",10.489347,-84.75635,3,2019,22.4273853302002,3842.72045898438
"Trochilidae","Amazilia tzacatl",9.961658,-83.711266,1,2016,18.3580722808838,4882.888671875
"Psittacidae","Ara macao",-12.873428,-69.49921,8,2019,24.629602432251,2445.08837890625
"Ramphastidae","Ramphastos sulfuratus",9.899788,-84.30102,4,2023,22.0514049530029,3129.1630859375
"Ramphastidae","Ramphastos sulfuratus",18.058725,-88.38123,11,2017,26.0679740905762,1590.2333984375
"Trochilidae","Amazilia tzacatl",5.064608,-75.59231,8,2021,18.4227466583252,2715.76708984375
"Trochilidae","Amazilia tzacatl",10.045428,-84.15167,4,2023,19.8101959228516,2978.7958984375
"Trochilidae","Amazilia tzacatl",9.980939,-84.07892,3,2020,18.7922496795654,3090.67211914062
"Trochilidae","Amazilia tzacatl",10.42731,-83.996574,3,2020,24.3582134246826,3935.75463867188
"Psittacidae","Ara macao",18.482068,-95.197276,5,2023,23.022289276123,3122.09692382812
"Trochilidae","Amazilia tzacatl",15.766171,-87.456795,12,2023,24.9808464050293,2583.77075195312
"Trochilidae","Amazilia tzacatl",10.896511,-84.78737,8,2019,25.2170467376709,2955.115234375
"Ramphastidae","Ramphastos sulfuratus",9.918328,-84.2612,12,2023,21.7343406677246,2724.85302734375
"Trochilidae","Amazilia tzacatl",6.211282,-74.632034,2,2024,27.2904605865479,2818.68041992188
"Trochilidae","Amazilia tzacatl",14.872377,-87.90557,8,2012,20.866584777832,1721.55249023438
"Trochilidae","Amazilia tzacatl",10.121993,-83.59246,9,2011,23.4383640289307,4532.7607421875
"Trochilidae","Amazilia tzacatl",8.60814,-80.14235,11,2023,22.7288646697998,2847.08911132812
"Trochilidae","Amazilia tzacatl",9.89014,-83.65505,2,2013,20.8341503143311,4450.3896484375
"Trochilidae","Amazilia tzacatl",9.980939,-84.07892,3,2023,18.7922496795654,3090.67211914062
"Trochilidae","Amazilia tzacatl",9.792083,-83.90877,2,2020,17.3862895965576,3871.62109375
"Trochilidae","Amazilia tzacatl",3.297644,-76.17706,1,2021,14.3377637863159,2396.24365234375
"Trochilidae","Amazilia tzacatl",4.659522,-76.05209,12,2023,21.7942790985107,1566.21264648438
"Psittacidae","Ara macao",9.796523,-84.59653,2,2019,25.2544860839844,3357.62670898438
"Ramphastidae","Ramphastos sulfuratus",17.103188,-89.05177,4,2023,25.7464981079102,1524.36376953125
"Ramphastidae","Ramphastos sulfuratus",10.005395,-83.353226,5,2021,23.9691581726074,4421.51611328125
"Trochilidae","Amazilia tzacatl",2.067738,-77.05906,12,2022,24.4314746856689,1938.53173828125
"Ramphastidae","Ramphastos sulfuratus",10.437196,-84.710252,1,2026,21.227502822876,3769.966796875
"Trochilidae","Amazilia tzacatl",17.158352,-89.06769,10,2021,25.7464981079102,1524.36376953125
"Ramphastidae","Ramphastos sulfuratus",8.311592,-77.80142,11,2023,26.1797828674316,2820.29443359375
"Trochilidae","Amazilia tzacatl",-0.030813,-78.764465,2,2012,17.3309020996094,3648.22094726562
"Trochilidae","Amazilia tzacatl",14.871487,-87.905263,4,2018,20.866584777832,1721.55249023438
"Trochilidae","Amazilia tzacatl",9.87026,-84.1025,11,2024,18.2813262939453,3055.5390625
"Trochilidae","Amazilia tzacatl",6.409989,-75.13982,5,2022,17.4331245422363,3713.26147460938
"Ramphastidae","Ramphastos sulfuratus",16.733288,-88.99186,11,2018,22.8641567230225,2163.61450195312
"Trochilidae","Amazilia tzacatl",8.798589,-82.42861,7,2024,16.5829124450684,4568.37060546875
"Ramphastidae","Ramphastos sulfuratus",10.965765,-73.91777,7,2019,15.1467161178589,3815.72216796875
"Trochilidae","Amazilia tzacatl",10.047327,-84.45715,6,2021,21.4132480621338,3402.93627929688
"Trochilidae","Amazilia tzacatl",8.664446,-82.588425,4,2019,21.6837158203125,5434.71435546875
"Trochilidae","Amazilia tzacatl",8.607931,-80.13222,10,2016,22.7288646697998,2847.08911132812
"Psittacidae","Ara macao",8.600032,-83.454895,3,2013,25.2360401153564,4008.63720703125
"Psittacidae","Ara macao",-2.921697,-54.950737,3,2017,26.3573627471924,1911.49890136719
"Psittacidae","Ara macao",3.86089,-67.96354,3,2023,25.4761981964111,3375.28466796875
"Ramphastidae","Ramphastos sulfuratus",16.933619,-91.071976,10,2022,25.1804103851318,2118.25756835938
"Trochilidae","Amazilia tzacatl",4.320151,-74.80459,5,2020,25.6005764007568,1769.13427734375
"Ramphastidae","Ramphastos sulfuratus",17.157154,-88.68356,9,2019,25.0457305908203,2214.52905273438
"Trochilidae","Amazilia tzacatl",6.473524,-75.781975,8,2023,23.7631664276123,1842.86022949219
"Ramphastidae","Ramphastos sulfuratus",8.617819,-80.109085,3,2024,22.7288646697998,2847.08911132812
"Trochilidae","Amazilia tzacatl",17.241154,-88.85585,1,2022,25.5318393707275,1760.44470214844
"Ramphastidae","Ramphastos sulfuratus",10.343917,-84.82763,9,2022,19.6945686340332,3409.72094726562
"Psittacidae","Ara macao",8.681657,-83.66458,3,2023,25.6653347015381,4172.93115234375
"Trochilidae","Amazilia tzacatl",8.954419,-79.54905,11,2021,26.1559429168701,2301.55200195312
"Trochilidae","Amazilia tzacatl",8.800619,-83.613686,2,2015,25.8626232147217,4261.72607421875
"Trochilidae","Amazilia tzacatl",15.684939,-88.106316,11,2021,23.1932849884033,2672.01391601562
"Trochilidae","Amazilia tzacatl",-0.048717,-78.775198,9,2025,17.3309020996094,3648.22094726562
"Trochilidae","Amazilia tzacatl",17.056274,-89.05155,2,2021,25.3534374237061,1652.71606445312
